Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.training.solution.1.json	19667	-	0	0	0	0	0	0	7	106	0	0	0	0	0	0	0	1	0	0	158	288	0	0	0	10	0	2
fsh-generated/resources/Task-HIVLabResultTaskExample.json	1589	6	0	0	0	1	0	0	0	41	0	0	0	0	0	0	0	0	0	0	13	28	0	0	0	0	0	0
fsh-generated/resources/Organization-HIVServiceRequestLocationExample.json	986	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	19	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-transferring-facility-encounter.json	1227	4	0	0	0	0	0	201	1	195	0	0	0	0	0	0	0	2	0	0	327	3113	0	0	0	12	0	2
fsh-generated/resources/CarePlan-ARVTreatmentRefusedExample.json	1244	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-art-regimen-change-type.json	639	3	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	7	1953	0	0	0	2	0	0
fsh-generated/resources/Bundle-LabResult.json	7685	11	0	0	0	0	35	0	1	33	0	0	0	0	0	0	0	0	0	0	34	34	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-hiv-lab-task.json	5043	16	0	0	0	0	0	273	0	316	0	0	0	0	0	0	0	1	0	0	483	2591	0	2	0	13	0	15
fsh-generated/resources/StructureDefinition-hiv-service-request-location.json	3564	10	0	0	0	0	0	209	0	155	0	0	0	0	0	0	0	1	0	0	308	1229	0	0	0	9	0	0
fsh-generated/resources/Observation-HIVTestResultExample.json	1202	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Bundle-EMR.json	13225	18	1	0	0	0	34	0	1	506	0	0	0	0	0	0	0	0	0	0	51	20	0	0	0	0	0	0
fsh-generated/resources/Task-HIVLabOrderCancellationTaskExample.json	1422	4	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-art-regimen-switched-or-substituted.json	2119	6	0	0	0	0	0	57	0	102	0	0	0	0	0	0	0	0	0	0	97	301	0	0	0	6	0	0
fsh-generated/resources/Bundle-LabCancellation.json	2077	4	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-LabRejection.json	2029	4	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-hiv-practitioner.json	1665	5	0	0	0	0	0	128	0	152	0	0	0	0	0	0	0	1	0	0	200	741	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-hiv-test-results.json	3998	12	0	0	0	0	0	266	0	229	0	0	0	0	0	0	0	1	0	0	335	1860	0	0	0	12	1	0
fsh-generated/resources/Condition-HIVDiagnosisExample.json	1243	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	1
fsh-generated/resources/Specimen-VLSpecimenExample.json	1136	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-HIV-lab-order.json	5173	14	0	0	0	0	0	249	0	195	0	0	1	0	0	0	0	1	0	0	388	1292	0	0	0	15	0	0
fsh-generated/resources/StructureDefinition-hiv-arv-treatment.json	6304	15	0	0	0	0	0	252	0	241	0	0	0	0	0	0	0	2	0	0	476	1832	0	0	0	13	0	1
